JobName=TeraSort, ID=attempt_201308081533_0002_m_000011_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976152036, FinishTime=1375976163477, ExecTime=11441 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000023_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976161355, FinishTime=1375976165907, ExecTime=4552 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000012_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976155044, FinishTime=1375976164117, ExecTime=9073 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000024_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976164368, FinishTime=1375976168942, ExecTime=4574 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000025_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976167376, FinishTime=1375976171917, ExecTime=4541 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000013_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976164055, FinishTime=1375976171549, ExecTime=7494 
 JobName=TeraSort, ID=attempt_201308081533_0002_m_000014_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976167073, FinishTime=1375976172752, ExecTime=5679 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000026_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976170388, FinishTime=1375976175002, ExecTime=4614 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000027_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976173395, FinishTime=1375976178378, ExecTime=4983 
JobName=TeraSort, ID=attempt_201308081533_0002_m_000015_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976173082, FinishTime=1375976177420, ExecTime=4338 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000028_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976176401, FinishTime=1375976180941, ExecTime=4540 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000029_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976179413, FinishTime=1375976184285, ExecTime=4872 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000030_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976233594, FinishTime=1375976238071, ExecTime=4477 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000031_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976233204, FinishTime=1375976237628, ExecTime=4424 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000032_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976236595, FinishTime=1375976241105, ExecTime=4510 
