JobName=PiEstimator, ID=attempt_201308081540_0001_m_000000_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976595370, FinishTime=1375976599909, ExecTime=4539 
JobName=TeraSort, ID=attempt_201308081540_0002_m_000000_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976594618, FinishTime=1375976602037, ExecTime=7419 
JobName=TeraSort, ID=attempt_201308081540_0002_m_000001_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976598228, FinishTime=1375976605882, ExecTime=7654 
 JobName=PiEstimator, ID=attempt_201308081540_0001_m_000001_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976600952, FinishTime=1375976606620, ExecTime=5668 
JobName=TeraSort, ID=attempt_201308081540_0002_m_000002_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976597631, FinishTime=1375976605959, ExecTime=8328 
JobName=PiEstimator, ID=attempt_201308081540_0001_m_000002_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976606980, FinishTime=1375976612558, ExecTime=5578 
JobName=TeraSort, ID=attempt_201308081540_0002_m_000003_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976603665, FinishTime=1375976615883, ExecTime=12218 
JobName=TeraSort, ID=attempt_201308081540_0002_m_000005_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976609985, FinishTime=1375976621621, ExecTime=11636 
 JobName=PiEstimator, ID=attempt_201308081540_0001_m_000003_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976612997, FinishTime=1375976619137, ExecTime=6140 
JobName=TeraSort, ID=attempt_201308081540_0002_m_000004_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976606677, FinishTime=1375976619500, ExecTime=12823 
JobName=PiEstimator, ID=attempt_201308081540_0001_m_000004_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976622015, FinishTime=1375976626534, ExecTime=4519 
JobName=TeraSort, ID=attempt_201308081540_0002_m_000006_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976618686, FinishTime=1375976629313, ExecTime=10627 
