***current time: 1375648574647, job name: PiEstimator, job startTime: 1375648574602, job relativeDeadline: 300, job deadline: 1375648874602
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000008_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7369 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000032_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5769 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000033_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5746 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000034_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5620 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000035_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5794 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000009_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7346 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000036_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5461 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000037_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5681 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000010_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7441 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000038_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5557 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000039_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5479 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000040_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5634 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000041_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5617 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000011_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7477 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000042_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5635 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000043_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5601 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000012_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7486 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000044_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5693 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000045_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5687 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000046_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5706 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000047_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5659 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000013_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7397 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000048_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5541 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000049_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5548 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000014_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=4399 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000050_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5512 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000051_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5607 
 JobName=TeraSort, ID=attempt_201308042034_0003_m_000015_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, ExecTime=7398 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000052_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5626 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000053_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5544 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000054_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5533 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000055_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=5588 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000056_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=7122 
 JobName=PiEstimator, ID=attempt_201308042034_0002_m_000057_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, ExecTime=7061 
 JobName=TeraSort, ID=attempt_201308042034_0003_r_000001_0, Type=REDUCE, Status=SUCCEEDED, Machine=slave1test, ExecTime=155709, ShuffleTime=137914, SortTime=1049 
